Equipment ID,Asset Number,Description,Location,Building,Floor,System,Subsystem,Manufacturer,Model,Serial Number,Voltage,Capacity,Weight,Dimensions,Delivery Status,Installation Status,Commissioning Status,Maintenance Status,Warranty,Criticality,Vendor,Purchase Order,Linked Schedule Activity
GEN-A-01,AST-GEN-A-01,Diesel Generator 1,"Generator Yard, Ground",Generator Yard,Ground,Electrical,Diesel Generators,Cummins,QSK60G18,SER-GEN-A-01-2025,415V AC,3500 kW,18000 kg,6200x2400x3100 mm,In Manufacturing,Awaiting Delivery,Not commissioned,Not Commenced,24 Months,CRITICAL,Cummins India Ltd,PHX-DC-01-PO-EL-003,A310
GEN-A-02,AST-GEN-A-02,Diesel Generator 2,"Generator Yard, Ground",Generator Yard,Ground,Electrical,Diesel Generators,Cummins,QSK60G18,SER-GEN-A-02-2025,415V AC,3500 kW,18000 kg,6200x2400x3100 mm,In Manufacturing,Awaiting Delivery,Not commissioned,Not Commenced,24 Months,CRITICAL,Cummins India Ltd,PHX-DC-01-PO-EL-003,A310
GEN-A-03,AST-GEN-A-03,Diesel Generator 3,"Generator Yard, Ground",Generator Yard,Ground,Electrical,Diesel Generators,Cummins,QSK60G18,SER-GEN-A-03-2025,415V AC,3500 kW,18000 kg,6200x2400x3100 mm,In Manufacturing,Awaiting Delivery,Not commissioned,Not Commenced,24 Months,CRITICAL,Cummins India Ltd,PHX-DC-01-PO-EL-003,A310
GEN-A-04,AST-GEN-A-04,Diesel Generator 4,"Generator Yard, Ground",Generator Yard,Ground,Electrical,Diesel Generators,Cummins,QSK60G18,SER-GEN-A-04-2025,415V AC,3500 kW,18000 kg,6200x2400x3100 mm,In Manufacturing,Awaiting Delivery,Not commissioned,Not Commenced,24 Months,CRITICAL,Cummins India Ltd,PHX-DC-01-PO-EL-003,A310
CHL-01,AST-CHL-01,Centrifugal Chiller 1,"Utility Block Building, Ground",Utility Block Building,Ground,Mechanical,Chilled Water Plant,Carrier,AquaForce 30XW-V,SER-CHL-01-2025,415V AC,2500 kW,8500 kg,4800x1800x2200 mm,Delayed Manufacturing,Awaiting Delivery,Not commissioned,Not Commenced,24 Months,CRITICAL,Carrier India Pvt Ltd,PHX-DC-01-PO-ME-001,A380
CHL-02,AST-CHL-02,Centrifugal Chiller 2,"Utility Block Building, Ground",Utility Block Building,Ground,Mechanical,Chilled Water Plant,Carrier,AquaForce 30XW-V,SER-CHL-02-2025,415V AC,2500 kW,8500 kg,4800x1800x2200 mm,Delayed Manufacturing,Awaiting Delivery,Not commissioned,Not Commenced,24 Months,CRITICAL,Carrier India Pvt Ltd,PHX-DC-01-PO-ME-001,A380
CHL-03,AST-CHL-03,Centrifugal Chiller 3,"Utility Block Building, Ground",Utility Block Building,Ground,Mechanical,Chilled Water Plant,Carrier,AquaForce 30XW-V,SER-CHL-03-2025,415V AC,2500 kW,8500 kg,4800x1800x2200 mm,Delayed Manufacturing,Awaiting Delivery,Not commissioned,Not Commenced,24 Months,CRITICAL,Carrier India Pvt Ltd,PHX-DC-01-PO-ME-001,A380
CHL-04,AST-CHL-04,Centrifugal Chiller 4,"Utility Block Building, Ground",Utility Block Building,Ground,Mechanical,Chilled Water Plant,Carrier,AquaForce 30XW-V,SER-CHL-04-2025,415V AC,2500 kW,8500 kg,4800x1800x2200 mm,Delayed Manufacturing,Awaiting Delivery,Not commissioned,Not Commenced,24 Months,CRITICAL,Carrier India Pvt Ltd,PHX-DC-01-PO-ME-001,A380
EQP-MEC-019,AST-MEC-019,Acoustic Exhaust Asset Item 19,"Utility Block Building, Floor 1",Utility Block Building,Floor 1,Mechanical,Acoustic Exhaust,OEM Standard,MOD-MEC-019,SN-MEC-019-99,415V AC,35 dB Attenuation,158 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-019,A240
EQP-MEC-020,AST-MEC-020,Condenser Cooling Towers Asset Item 20,"Data Centre Building 01, Floor 2",Data Centre Building 01,Floor 2,Mechanical,Condenser Cooling Towers,OEM Standard,MOD-MEC-020,SN-MEC-020-99,415V AC,3000 GPM,317 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-020,A440
EQP-ELE-021,AST-ELE-021,UPS System Asset Item 21,"Generator Yard, Floor 2",Generator Yard,Floor 1,Electrical,UPS System,Vertiv,MOD-ELE-021,SN-ELE-021-99,415V AC,1600 kW,298 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-EL-002,A440
EQP-ELE-022,AST-ELE-022,LV Switchgear Asset Item 22,"Transformer Yard, Floor 1",Transformer Yard,Floor 3,Electrical,LV Switchgear,ABB,MOD-ELE-022,SN-ELE-022-99,415V AC,3200 A,427 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-EL-005,A500
EQP-BMS-023,AST-BMS-023,BMS Control Network Asset Item 23,"Generator Yard, Floor 2",Generator Yard,Floor 2,BMS,BMS Control Network,OEM Standard,MOD-BMS-023,SN-BMS-023-99,230V AC,Standard Load,165 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-023,A500
EQP-ELE-024,AST-ELE-024,Diesel Generators Asset Item 24,"Generator Yard, Floor 2",Generator Yard,Floor 1,Electrical,Diesel Generators,Cummins,MOD-ELE-024,SN-ELE-024-99,415V AC,3500 kW,489 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-EL-003,A500
EQP-MEC-025,AST-MEC-025,Acoustic Exhaust Asset Item 25,"Utility Block Building, Floor 3",Utility Block Building,Floor 2,Mechanical,Acoustic Exhaust,OEM Standard,MOD-MEC-025,SN-MEC-025-99,415V AC,35 dB Attenuation,43 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-025,A150
EQP-BMS-026,AST-BMS-026,BMS Server Panel Asset Item 26,"Utility Block Building, Floor 3",Utility Block Building,Floor 2,BMS,BMS Server Panel,OEM Standard,MOD-BMS-026,SN-BMS-026-99,230V AC,Standard Load,12 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-026,A440
EQP-ELE-027,AST-ELE-027,Power Transformers Asset Item 27,"Data Centre Building 01, Floor 3",Data Centre Building 01,Floor 2,Electrical,Power Transformers,Kirloskar,MOD-ELE-027,SN-ELE-027-99,110 kV / 11 kV,5 MVA,330 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-EL-004,A440
EQP-FIR-028,AST-FIR-028,VESDA Aspiration Asset Item 28,"Transformer Yard, Floor 2",Transformer Yard,Floor 1,Fire Protection,VESDA Aspiration,OEM Standard,MOD-FIR-028,SN-FIR-028-99,230V AC,Standard Load,281 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-028,A320
EQP-BMS-029,AST-BMS-029,BMS Server Panel Asset Item 29,"Generator Yard, Floor 3",Generator Yard,Floor 2,BMS,BMS Server Panel,OEM Standard,MOD-BMS-029,SN-BMS-029-99,230V AC,Standard Load,115 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-029,A320
EQP-BMS-030,AST-BMS-030,BMS Control Network Asset Item 30,"Utility Block Building, Floor 3",Utility Block Building,Floor 3,BMS,BMS Control Network,OEM Standard,MOD-BMS-030,SN-BMS-030-99,230V AC,Standard Load,129 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-GEN-030,A320
EQP-MEC-031,AST-MEC-031,Acoustic Exhaust Asset Item 31,"Utility Block Building, Floor 1",Utility Block Building,Floor 2,Mechanical,Acoustic Exhaust,OEM Standard,MOD-MEC-031,SN-MEC-031-99,415V AC,35 dB Attenuation,269 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-031,A500
EQP-MEC-032,AST-MEC-032,Chilled Water Plant Asset Item 32,"Transformer Yard, Floor 3",Transformer Yard,Floor 1,Mechanical,Chilled Water Plant,Carrier,MOD-MEC-032,SN-MEC-032-99,415V AC,2500 kW,114 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-ME-001,A320
EQP-BMS-033,AST-BMS-033,BMS Control Network Asset Item 33,"Utility Block Building, Floor 1",Utility Block Building,Floor 2,BMS,BMS Control Network,OEM Standard,MOD-BMS-033,SN-BMS-033-99,230V AC,Standard Load,138 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-033,A440
EQP-ELE-034,AST-ELE-034,Diesel Generators Asset Item 34,"Utility Block Building, Floor 2",Utility Block Building,Floor 1,Electrical,Diesel Generators,Cummins,MOD-ELE-034,SN-ELE-034-99,415V AC,3500 kW,274 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-EL-003,A240
EQP-BMS-035,AST-BMS-035,BMS Server Panel Asset Item 35,"Transformer Yard, Floor 2",Transformer Yard,Floor 1,BMS,BMS Server Panel,OEM Standard,MOD-BMS-035,SN-BMS-035-99,230V AC,Standard Load,400 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-035,A500
EQP-BMS-036,AST-BMS-036,BMS Software System Asset Item 36,"Utility Block Building, Floor 2",Utility Block Building,Floor 3,BMS,BMS Software System,OEM Standard,MOD-BMS-036,SN-BMS-036-99,230V AC,Standard Load,120 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-036,A320
EQP-FIR-037,AST-FIR-037,FM-200 Clean Agent System Asset Item 37,"Data Centre Building 01, Floor 3",Data Centre Building 01,Floor 2,Fire Protection,FM-200 Clean Agent System,OEM Standard,MOD-FIR-037,SN-FIR-037-99,230V AC,Standard Load,192 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-037,A320
EQP-FIR-038,AST-FIR-038,FM-200 Clean Agent System Asset Item 38,"Generator Yard, Floor 2",Generator Yard,Floor 3,Fire Protection,FM-200 Clean Agent System,OEM Standard,MOD-FIR-038,SN-FIR-038-99,230V AC,Standard Load,449 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-GEN-038,A320
EQP-FIR-039,AST-FIR-039,FM-200 Clean Agent System Asset Item 39,"Utility Block Building, Floor 3",Utility Block Building,Floor 3,Fire Protection,FM-200 Clean Agent System,OEM Standard,MOD-FIR-039,SN-FIR-039-99,230V AC,Standard Load,14 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-GEN-039,A240
EQP-BMS-040,AST-BMS-040,BMS Control Network Asset Item 40,"Utility Block Building, Floor 1",Utility Block Building,Floor 2,BMS,BMS Control Network,OEM Standard,MOD-BMS-040,SN-BMS-040-99,230V AC,Standard Load,335 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-GEN-040,A500
EQP-BMS-041,AST-BMS-041,BMS Software System Asset Item 41,"Utility Block Building, Floor 1",Utility Block Building,Floor 1,BMS,BMS Software System,OEM Standard,MOD-BMS-041,SN-BMS-041-99,230V AC,Standard Load,13 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-041,A320
EQP-MEC-042,AST-MEC-042,Acoustic Exhaust Asset Item 42,"Transformer Yard, Floor 1",Transformer Yard,Floor 1,Mechanical,Acoustic Exhaust,OEM Standard,MOD-MEC-042,SN-MEC-042-99,415V AC,35 dB Attenuation,235 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-GEN-042,A440
EQP-MEC-043,AST-MEC-043,Chilled Water Plant Asset Item 43,"Generator Yard, Floor 1",Generator Yard,Floor 3,Mechanical,Chilled Water Plant,Carrier,MOD-MEC-043,SN-MEC-043-99,415V AC,2500 kW,374 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-ME-001,A320
EQP-MEC-044,AST-MEC-044,Acoustic Exhaust Asset Item 44,"Utility Block Building, Floor 2",Utility Block Building,Floor 3,Mechanical,Acoustic Exhaust,OEM Standard,MOD-MEC-044,SN-MEC-044-99,415V AC,35 dB Attenuation,323 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-044,A500
EQP-MEC-045,AST-MEC-045,CRAH System Asset Item 45,"Transformer Yard, Floor 2",Transformer Yard,Floor 3,Mechanical,CRAH System,Vertiv,MOD-MEC-045,SN-MEC-045-99,415V AC,85 kW,131 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-ME-002,A500
EQP-ELE-046,AST-ELE-046,MV Switchgear Asset Item 46,"Data Centre Building 01, Floor 3",Data Centre Building 01,Floor 3,Electrical,MV Switchgear,Schneider Electric,MOD-ELE-046,SN-ELE-046-99,11 kV AC,31.5 kA,355 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-EL-001,A240
EQP-ELE-047,AST-ELE-047,Diesel Generators Asset Item 47,"Transformer Yard, Floor 1",Transformer Yard,Floor 1,Electrical,Diesel Generators,Cummins,MOD-ELE-047,SN-ELE-047-99,415V AC,3500 kW,401 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-EL-003,A150
EQP-ELE-048,AST-ELE-048,Diesel Generators Asset Item 48,"Generator Yard, Floor 3",Generator Yard,Floor 2,Electrical,Diesel Generators,Cummins,MOD-ELE-048,SN-ELE-048-99,415V AC,3500 kW,325 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-EL-003,A500
EQP-MEC-049,AST-MEC-049,Acoustic Exhaust Asset Item 49,"Generator Yard, Floor 2",Generator Yard,Floor 2,Mechanical,Acoustic Exhaust,OEM Standard,MOD-MEC-049,SN-MEC-049-99,415V AC,35 dB Attenuation,317 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-049,A240
EQP-BMS-050,AST-BMS-050,BMS Control Network Asset Item 50,"Transformer Yard, Floor 2",Transformer Yard,Floor 3,BMS,BMS Control Network,OEM Standard,MOD-BMS-050,SN-BMS-050-99,230V AC,Standard Load,333 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-050,A320
EQP-MEC-051,AST-MEC-051,Acoustic Exhaust Asset Item 51,"Generator Yard, Floor 2",Generator Yard,Floor 3,Mechanical,Acoustic Exhaust,OEM Standard,MOD-MEC-051,SN-MEC-051-99,415V AC,35 dB Attenuation,475 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-GEN-051,A320
EQP-FIR-052,AST-FIR-052,FM-200 Clean Agent System Asset Item 52,"Data Centre Building 01, Floor 1",Data Centre Building 01,Floor 3,Fire Protection,FM-200 Clean Agent System,OEM Standard,MOD-FIR-052,SN-FIR-052-99,230V AC,Standard Load,363 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-052,A500
EQP-MEC-053,AST-MEC-053,Chilled Water Plant Asset Item 53,"Generator Yard, Floor 2",Generator Yard,Floor 1,Mechanical,Chilled Water Plant,Carrier,MOD-MEC-053,SN-MEC-053-99,415V AC,2500 kW,443 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-ME-001,A240
EQP-ELE-054,AST-ELE-054,Diesel Generators Asset Item 54,"Data Centre Building 01, Floor 2",Data Centre Building 01,Floor 2,Electrical,Diesel Generators,Cummins,MOD-ELE-054,SN-ELE-054-99,415V AC,3500 kW,151 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-EL-003,A440
EQP-MEC-055,AST-MEC-055,Chilled Water Plant Asset Item 55,"Generator Yard, Floor 2",Generator Yard,Floor 3,Mechanical,Chilled Water Plant,Carrier,MOD-MEC-055,SN-MEC-055-99,415V AC,2500 kW,117 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-ME-001,A240
EQP-FIR-056,AST-FIR-056,VESDA Aspiration Asset Item 56,"Generator Yard, Floor 3",Generator Yard,Floor 3,Fire Protection,VESDA Aspiration,OEM Standard,MOD-FIR-056,SN-FIR-056-99,230V AC,Standard Load,274 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-056,A320
EQP-BMS-057,AST-BMS-057,BMS Software System Asset Item 57,"Data Centre Building 01, Floor 2",Data Centre Building 01,Floor 1,BMS,BMS Software System,OEM Standard,MOD-BMS-057,SN-BMS-057-99,230V AC,Standard Load,85 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-057,A320
EQP-MEC-058,AST-MEC-058,Chilled Water Plant Asset Item 58,"Data Centre Building 01, Floor 2",Data Centre Building 01,Floor 3,Mechanical,Chilled Water Plant,Carrier,MOD-MEC-058,SN-MEC-058-99,415V AC,2500 kW,65 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-ME-001,A500
EQP-FIR-059,AST-FIR-059,FM-200 Clean Agent System Asset Item 59,"Generator Yard, Floor 1",Generator Yard,Floor 2,Fire Protection,FM-200 Clean Agent System,OEM Standard,MOD-FIR-059,SN-FIR-059-99,230V AC,Standard Load,14 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-059,A240
EQP-FIR-060,AST-FIR-060,VESDA Aspiration Asset Item 60,"Data Centre Building 01, Floor 2",Data Centre Building 01,Floor 2,Fire Protection,VESDA Aspiration,OEM Standard,MOD-FIR-060,SN-FIR-060-99,230V AC,Standard Load,310 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-060,A500
EQP-MEC-061,AST-MEC-061,CRAH System Asset Item 61,"Generator Yard, Floor 3",Generator Yard,Floor 1,Mechanical,CRAH System,Vertiv,MOD-MEC-061,SN-MEC-061-99,415V AC,85 kW,222 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-ME-002,A150
EQP-BMS-062,AST-BMS-062,BMS Control Network Asset Item 62,"Generator Yard, Floor 3",Generator Yard,Floor 3,BMS,BMS Control Network,OEM Standard,MOD-BMS-062,SN-BMS-062-99,230V AC,Standard Load,472 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-062,A440
EQP-MEC-063,AST-MEC-063,Acoustic Exhaust Asset Item 63,"Transformer Yard, Floor 2",Transformer Yard,Floor 3,Mechanical,Acoustic Exhaust,OEM Standard,MOD-MEC-063,SN-MEC-063-99,415V AC,35 dB Attenuation,449 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-063,A500
EQP-BMS-064,AST-BMS-064,BMS Software System Asset Item 64,"Utility Block Building, Floor 1",Utility Block Building,Floor 1,BMS,BMS Software System,OEM Standard,MOD-BMS-064,SN-BMS-064-99,230V AC,Standard Load,291 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-064,A500
EQP-FIR-065,AST-FIR-065,CO2 Flooding System Asset Item 65,"Generator Yard, Floor 3",Generator Yard,Floor 3,Fire Protection,CO2 Flooding System,OEM Standard,MOD-FIR-065,SN-FIR-065-99,230V AC,Standard Load,322 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-065,A320
EQP-FIR-066,AST-FIR-066,VESDA Aspiration Asset Item 66,"Transformer Yard, Floor 2",Transformer Yard,Floor 3,Fire Protection,VESDA Aspiration,OEM Standard,MOD-FIR-066,SN-FIR-066-99,230V AC,Standard Load,152 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-066,A150
EQP-MEC-067,AST-MEC-067,Chilled Water Plant Asset Item 67,"Generator Yard, Floor 1",Generator Yard,Floor 1,Mechanical,Chilled Water Plant,Carrier,MOD-MEC-067,SN-MEC-067-99,415V AC,2500 kW,490 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-ME-001,A440
